Date,Open,High,Low,Close,Adj Close,Volume
2016-06-28,48.029999,48.610001,47.490002,48.110001,48.110001,1638400
2016-06-29,48.560001,49.689999,48.000000,49.279999,49.279999,1026200
2016-06-30,49.029999,49.520000,48.250000,48.919998,48.919998,968900
2016-07-01,49.189999,49.630001,48.540001,48.959999,48.959999,673200
2016-07-05,48.639999,49.279999,47.770000,49.110001,49.110001,937100
2016-07-06,48.750000,49.779999,48.250000,49.320000,49.320000,636900
2016-07-07,49.610001,50.180000,49.310001,49.529999,49.529999,579300
2016-07-08,49.990002,51.080002,49.840000,50.500000,50.500000,887400
2016-07-11,51.360001,51.560001,50.320000,50.419998,50.419998,1290300
2016-07-12,50.599998,53.709999,50.490002,53.130001,53.130001,2037300
2016-07-13,53.520000,53.520000,52.360001,52.480000,52.480000,776900
2016-07-14,53.009998,53.730000,52.910000,53.270000,53.270000,693500
2016-07-15,53.430000,53.480000,52.590000,53.189999,53.189999,438600
2016-07-18,53.230000,53.810001,53.000000,53.630001,53.630001,400000
2016-07-19,53.770000,54.330002,53.310001,53.630001,53.630001,692400
2016-07-20,54.830002,57.820000,54.610001,57.029999,57.029999,2622900
2016-07-21,56.950001,57.029999,54.799999,54.950001,54.950001,850900
2016-07-22,55.200001,57.279999,54.810001,57.060001,57.060001,849800
2016-07-25,54.930000,55.970001,54.110001,55.680000,55.680000,1521300
2016-07-26,55.680000,56.250000,55.599998,56.130001,56.130001,972400
2016-07-27,56.520000,57.049999,55.619999,56.090000,56.090000,858500
2016-07-28,57.080002,57.250000,56.110001,56.950001,56.950001,1182700
2016-07-29,56.910000,57.000000,55.209999,56.509998,56.509998,1018100
2016-08-01,56.299999,57.119999,55.619999,56.439999,56.439999,1098800
2016-08-02,56.180000,57.139999,55.630001,56.400002,56.400002,2598500
2016-08-03,52.869999,53.500000,50.270000,53.200001,53.200001,6005000
2016-08-04,53.160000,54.000000,52.720001,52.730000,52.730000,1547300
2016-08-05,52.820000,53.750000,52.790001,53.709999,53.709999,1116100
2016-08-08,54.000000,54.389999,53.110001,53.189999,53.189999,836800
2016-08-09,53.000000,53.220001,51.860001,52.950001,52.950001,1355400
2016-08-10,52.900002,53.180000,52.049999,52.820000,52.820000,675800
2016-08-11,52.840000,54.000000,52.709999,53.730000,53.730000,859400
2016-08-12,53.650002,53.860001,53.270000,53.849998,53.849998,797100
2016-08-15,53.930000,54.900002,53.759998,54.630001,54.630001,627800
2016-08-16,54.959999,55.540001,54.080002,54.250000,54.250000,1135000
2016-08-17,54.040001,54.689999,53.669998,53.840000,53.840000,1065300
2016-08-18,53.700001,54.660000,53.509998,54.470001,54.470001,592600
2016-08-19,54.090000,55.310001,54.009998,55.250000,55.250000,789700
2016-08-22,54.790001,55.230000,54.549999,54.869999,54.869999,741700
2016-08-23,59.139999,62.529999,58.790001,62.220001,62.220001,7519900
2016-08-24,62.020000,62.029999,60.189999,60.490002,60.490002,3033800
2016-08-25,59.000000,60.240002,58.810001,59.790001,59.790001,1679100
2016-08-26,59.650002,60.000000,58.389999,59.270000,59.270000,1520000
2016-08-29,59.259998,59.820000,58.540001,59.330002,59.330002,659300
2016-08-30,59.250000,59.900002,58.560001,58.910000,58.910000,823800
2016-08-31,58.610001,58.720001,57.770000,58.029999,58.029999,650300
2016-09-01,57.639999,58.330002,57.290001,58.029999,58.029999,576600
2016-09-02,58.349998,58.750000,57.840000,58.459999,58.459999,637200
2016-09-06,58.549999,59.700001,58.509998,58.700001,58.700001,742200
2016-09-07,58.590000,59.580002,58.230000,58.340000,58.340000,902100
2016-09-08,58.299999,58.599998,57.290001,57.400002,57.400002,631400
2016-09-09,57.139999,57.939999,56.410000,57.549999,57.549999,1171400
2016-09-12,57.060001,57.419998,56.209999,57.080002,57.080002,928100
2016-09-13,56.509998,57.389999,55.080002,55.500000,55.500000,1007000
2016-09-14,55.439999,56.430000,54.900002,55.380001,55.380001,1241600
2016-09-15,55.279999,55.639999,54.639999,55.160000,55.160000,1171400
2016-09-16,55.160000,55.340000,54.369999,54.869999,54.869999,1074800
2016-09-19,55.369999,55.430000,54.080002,54.180000,54.180000,746400
2016-09-20,54.250000,54.750000,53.160000,53.310001,53.310001,1092000
2016-09-21,53.630001,53.880001,52.910000,53.810001,53.810001,1016200
2016-09-22,54.389999,54.689999,53.529999,54.480000,54.480000,656800
2016-09-23,54.529999,54.990002,53.990002,54.410000,54.410000,673700
2016-09-26,54.090000,54.349998,53.590000,53.959999,53.959999,525200
2016-09-27,53.970001,55.049999,53.970001,54.810001,54.810001,633300
2016-09-28,54.990002,55.930000,54.950001,55.880001,55.880001,766900
2016-09-29,55.860001,56.139999,54.549999,54.740002,54.740002,710700
2016-09-30,54.930000,55.540001,54.020000,55.270000,55.270000,762400
2016-10-03,55.279999,56.220001,55.259998,56.020000,56.020000,715500
2016-10-04,56.200001,56.230000,55.560001,55.709999,55.709999,580200
2016-10-05,55.520000,55.529999,53.700001,53.779999,53.779999,1426100
2016-10-06,53.689999,53.689999,51.430000,51.630001,51.630001,2130800
2016-10-07,51.380001,51.430000,50.200001,50.410000,50.410000,1740200
2016-10-10,50.500000,51.820000,50.500000,50.830002,50.830002,1111600
2016-10-11,50.810001,51.630001,49.759998,49.939999,49.939999,1433300
2016-10-12,49.689999,50.139999,49.070000,49.349998,49.349998,776600
2016-10-13,48.669998,49.070000,47.910000,48.930000,48.930000,1412000
2016-10-14,48.889999,50.060001,48.000000,48.029999,48.029999,1289000
2016-10-17,48.029999,48.160000,47.139999,47.200001,47.200001,1304900
2016-10-18,47.869999,48.080002,47.099998,47.230000,47.230000,831400
2016-10-19,50.040001,53.020000,48.500000,48.910000,48.910000,6468300
2016-10-20,48.299999,49.549999,47.810001,49.020000,49.020000,1920300
2016-10-21,48.000000,48.389999,47.209999,48.250000,48.250000,1897900
2016-10-24,48.680000,49.099998,48.099998,48.900002,48.900002,1227800
2016-10-25,48.730000,48.910000,47.740002,47.869999,47.869999,1318300
2016-10-26,47.759998,48.560001,47.680000,48.110001,48.110001,891000
2016-10-27,48.700001,49.130001,47.419998,47.639999,47.639999,993900
2016-10-28,47.299999,48.169998,47.279999,47.820000,47.820000,2222800
2016-10-31,48.000000,48.279999,47.310001,48.049999,48.049999,1904600
2016-11-01,48.049999,49.650002,48.029999,49.509998,49.509998,3702400
2016-11-02,44.230000,45.720001,42.820000,43.509998,43.509998,8041500
2016-11-03,43.139999,44.150002,42.700001,43.590000,43.590000,1922600
2016-11-04,43.770000,45.549999,43.770000,44.700001,44.700001,2010400
2016-11-07,45.580002,46.450001,45.119999,45.650002,45.650002,1101000
2016-11-08,45.580002,46.480000,45.009998,46.200001,46.200001,968600
2016-11-09,44.970001,47.720001,44.910000,46.980000,46.980000,1366600
2016-11-10,47.590000,48.680000,46.299999,47.320000,47.320000,1413500
2016-11-11,47.070000,47.549999,46.189999,47.410000,47.410000,1227200
2016-11-14,47.830002,47.990002,45.720001,46.000000,46.000000,1641700
2016-11-15,46.119999,47.000000,45.599998,46.549999,46.549999,1157900
2016-11-16,46.330002,46.720001,45.740002,45.950001,45.950001,1151600
2016-11-17,45.790001,47.700001,45.470001,47.200001,47.200001,1206300
2016-11-18,47.730000,47.869999,46.029999,46.470001,46.470001,1028400
2016-11-21,46.590000,47.310001,46.290001,47.250000,47.250000,761300
2016-11-22,46.980000,47.680000,46.639999,47.430000,47.430000,683200
2016-11-23,47.060001,47.320000,46.639999,46.860001,46.860001,600100
2016-11-25,46.860001,47.209999,46.150002,47.020000,47.020000,286300
2016-11-28,46.959999,47.470001,45.520000,45.720001,45.720001,715700
2016-11-29,45.700001,46.020000,45.099998,45.369999,45.369999,782800
2016-11-30,45.900002,45.950001,44.599998,44.880001,44.880001,651800
2016-12-01,44.790001,45.439999,43.250000,44.180000,44.180000,1366200
2016-12-02,42.439999,44.549999,42.240002,44.340000,44.340000,1264000
2016-12-05,44.540001,45.930000,44.389999,45.419998,45.419998,1118800
2016-12-06,45.389999,45.799999,44.950001,45.360001,45.360001,1101300
2016-12-07,45.180000,46.080002,44.770000,45.570000,45.570000,869500
2016-12-08,45.639999,46.060001,45.259998,45.650002,45.650002,581500
